Date,T2M
2019/08/01 00:00:00,28.76
2019/08/01 01:00:00,28.19
2019/08/01 02:00:00,27.76
2019/08/01 03:00:00,27.42
2019/08/01 04:00:00,27.13
2019/08/01 05:00:00,27.26
2019/08/01 06:00:00,28.81
2019/08/01 07:00:00,30.26
2019/08/01 08:00:00,31.44
2019/08/01 09:00:00,32.78
2019/08/01 10:00:00,34.19
2019/08/01 11:00:00,35.23
2019/08/01 12:00:00,35.95
2019/08/01 13:00:00,36.33
2019/08/01 14:00:00,36.46
2019/08/01 15:00:00,35.92
2019/08/01 16:00:00,35.05
2019/08/01 17:00:00,33.96
2019/08/01 18:00:00,32.61
2019/08/01 19:00:00,31.72
2019/08/01 20:00:00,31.2
2019/08/01 21:00:00,30.62
2019/08/01 22:00:00,30.08
2019/08/01 23:00:00,29.64
2019/08/02 00:00:00,29.23
2019/08/02 01:00:00,28.85
2019/08/02 02:00:00,28.51
2019/08/02 03:00:00,28.26
2019/08/02 04:00:00,28.01
2019/08/02 05:00:00,28.02
2019/08/02 06:00:00,29.24
2019/08/02 07:00:00,31.65
2019/08/02 08:00:00,33.2
2019/08/02 09:00:00,34.06
2019/08/02 10:00:00,34.54
2019/08/02 11:00:00,34.77
2019/08/02 12:00:00,34.98
2019/08/02 13:00:00,34.85
2019/08/02 14:00:00,34.37
2019/08/02 15:00:00,33.59
2019/08/02 16:00:00,32.34
2019/08/02 17:00:00,30.89
2019/08/02 18:00:00,29.31
2019/08/02 19:00:00,28.5
2019/08/02 20:00:00,28.2
2019/08/02 21:00:00,28.05
2019/08/02 22:00:00,27.98
2019/08/02 23:00:00,27.94
2019/08/03 00:00:00,27.87
2019/08/03 01:00:00,27.79
2019/08/03 02:00:00,27.69
2019/08/03 03:00:00,27.57
2019/08/03 04:00:00,27.44
2019/08/03 05:00:00,27.41
2019/08/03 06:00:00,27.7
2019/08/03 07:00:00,28.37
2019/08/03 08:00:00,29.08
2019/08/03 09:00:00,29.85
2019/08/03 10:00:00,30.68
2019/08/03 11:00:00,31.59
2019/08/03 12:00:00,32.05
2019/08/03 13:00:00,32.1
2019/08/03 14:00:00,32
2019/08/03 15:00:00,31.87
2019/08/03 16:00:00,31.49
2019/08/03 17:00:00,30.83
2019/08/03 18:00:00,29.69
2019/08/03 19:00:00,28.99
2019/08/03 20:00:00,28.69
2019/08/03 21:00:00,28.44
2019/08/03 22:00:00,28.22
2019/08/03 23:00:00,28.03
2019/08/04 00:00:00,27.69
2019/08/04 01:00:00,27.24
2019/08/04 02:00:00,26.91
2019/08/04 03:00:00,26.73
2019/08/04 04:00:00,26.65
2019/08/04 05:00:00,26.65
2019/08/04 06:00:00,26.98
2019/08/04 07:00:00,27.73
2019/08/04 08:00:00,28.63
2019/08/04 09:00:00,29.69
2019/08/04 10:00:00,30.9
2019/08/04 11:00:00,31.37
2019/08/04 12:00:00,31.22
2019/08/04 13:00:00,31.02
2019/08/04 14:00:00,30.91
2019/08/04 15:00:00,31.13
2019/08/04 16:00:00,31.13
2019/08/04 17:00:00,30.75
2019/08/04 18:00:00,29.74
2019/08/04 19:00:00,29.26
2019/08/04 20:00:00,29.19
2019/08/04 21:00:00,29.15
2019/08/04 22:00:00,28.9
2019/08/04 23:00:00,28.47
2019/08/05 00:00:00,28.08
2019/08/05 01:00:00,27.82
2019/08/05 02:00:00,27.56
2019/08/05 03:00:00,27.35
2019/08/05 04:00:00,27.15
2019/08/05 04:59:59,27.22
2019/08/05 05:59:59,27.8
2019/08/05 06:59:59,29.54
2019/08/05 07:59:59,31.63
2019/08/05 08:59:59,32.98
2019/08/05 09:59:59,34.04
2019/08/05 10:59:59,34.79
2019/08/05 11:59:59,35.4
2019/08/05 12:59:59,35.76
2019/08/05 13:59:59,35.95
2019/08/05 14:59:59,35.64
2019/08/05 15:59:59,35.19
2019/08/05 16:59:59,34.49
2019/08/05 17:59:59,33.11
2019/08/05 18:59:59,32.05
2019/08/05 19:59:59,31.42
2019/08/05 20:59:59,30.98
2019/08/05 21:59:59,30.8
2019/08/05 22:59:59,30.71
2019/08/05 23:59:59,30.55
2019/08/06 00:59:59,30.22
2019/08/06 01:59:59,29.72
2019/08/06 02:59:59,29.26
2019/08/06 03:59:59,28.87
2019/08/06 04:59:59,28.75
2019/08/06 05:59:59,29.61
2019/08/06 06:59:59,31.94
2019/08/06 07:59:59,33.32
2019/08/06 08:59:59,34.05
2019/08/06 09:59:59,34.42
2019/08/06 10:59:59,34.68
2019/08/06 11:59:59,34.96
2019/08/06 12:59:59,35.05
2019/08/06 13:59:59,34.99
2019/08/06 14:59:59,34.75
2019/08/06 15:59:59,34.34
2019/08/06 16:59:59,33.58
2019/08/06 17:59:59,31.83
2019/08/06 18:59:59,30.57
2019/08/06 19:59:59,29.84
2019/08/06 20:59:59,29.3
2019/08/06 21:59:59,28.84
2019/08/06 22:59:59,28.42
2019/08/06 23:59:59,28.01
2019/08/07 00:59:59,27.68
2019/08/07 01:59:59,27.43
2019/08/07 02:59:59,27.27
2019/08/07 03:59:59,27.17
2019/08/07 04:59:59,27.26
2019/08/07 05:59:59,27.85
2019/08/07 06:59:59,28.9
2019/08/07 07:59:59,29.91
2019/08/07 08:59:59,30.83
2019/08/07 09:59:59,31.63
2019/08/07 10:59:59,32.15
